"champion","winrate","nb_game","kd_rate","nb_kill_mobs","gold","ligue","role"
"Tryndamere",49.72,141769,1.81,210.77,13348,"Silver","Top"
"Wukong",49.69,40096,2.19,164.69,12003,"Silver","Top"
"Galio",49.65,45896,2.45,101.19,9665,"Silver","Support"
"Vladimir",49.64,67314,2.18,183.7,11909,"Silver","Mid"
"Graves",49.63,108156,2.13,199.61,12800,"Silver","Jungle"
"Poppy",49.52,58687,2.38,142.09,10916,"Silver","Jungle"
"Lulu",49.5,143202,2.96,19.82,8031,"Silver","Support"
"Viego",49.45,185486,2.23,162.99,12224,"Silver","Jungle"
"Alistar",49.45,50356,2.47,36.89,8068,"Silver","Support"
"Udyr",49.39,30407,2.33,174.36,11781,"Silver","Jungle"
"Kayn",49.38,212235,2.22,172.58,12579,"Silver","Jungle"
"Lissandra",49.33,42213,2.26,166.2,11397,"Silver","Mid"
"Rell",49.31,19846,2.33,34.79,8096,"Silver","Support"
"Pyke",49.3,168601,2.14,45.15,11626,"Silver","Support"
"Yuumi",49.3,138707,4.21,7.23,8116,"Silver","Support"
"Jax",49.17,118619,1.67,177.13,12276,"Silver","Top"
"Zed",49.16,149269,2.19,169.84,12554,"Silver","Mid"
"Draven",49.16,74107,2.03,184.45,13353,"Silver","Bot"
"Katarina",49.11,122360,2.17,154.16,12275,"Silver","Mid"
"Akali",49.1,193618,2.26,152.08,11688,"Silver","Mid"
"Jarvan IV",49.03,70506,3.02,148.56,11626,"Silver","Jungle"
"Aurelion Sol",49.03,12634,2.25,155.65,11035,"Silver","Mid"
"Kai'Sa",49.02,200286,2.34,193.51,12846,"Silver","Bot"
"Xayah",48.99,60391,2.29,195.16,12642,"Silver","Bot"
"Darius",48.83,140767,1.8,183.51,12231,"Silver","Top"
"Rakan",48.83,64047,2.75,36.39,8058,"Silver","Support"
"Pantheon",48.81,63476,2.05,102.44,10906,"Silver","Support"
"Evelynn",48.79,55781,2.66,143.51,12094,"Silver","Jungle"
"Vex",48.69,147348,2.26,141.01,11213,"Silver","Mid"
"Bard",48.6,41274,2.8,27.52,8679,"Silver","Support"
"Riven",48.59,66443,1.93,183.36,12078,"Silver","Top"
"Ezreal",48.36,300443,2.37,181.06,12604,"Silver","Bot"
"Camille",48.24,58703,1.85,163.81,11567,"Silver","Top"
"Taliyah",48.09,15097,2.19,129.18,11495,"Silver","Jungle"
"Caitlyn",48.03,293629,2.2,187.78,12404,"Silver","Bot"
"Talon",48.02,39589,2.07,171.16,12723,"Silver","Mid"
"Ivern",47.96,15326,2.86,116.47,9534,"Silver","Jungle"
"Karthus",47.88,29491,2.21,187.07,13064,"Silver","Jungle"
"Gnar",47.83,48738,1.89,174.34,11545,"Silver","Top"
"Lucian",47.75,128120,2.2,195.35,12890,"Silver","Bot"
"Corki",47.67,102736,2.04,194.46,13150,"Silver","Mid"
"Karma",47.66,97904,2.57,46.83,8857,"Silver","Support"
"Orianna",47.66,52170,2.55,176.1,11352,"Silver","Mid"
"Elise",47.65,26354,2.28,135.23,11261,"Silver","Jungle"
"Samira",47.52,103649,2.07,183.71,12833,"Silver","Bot"
"Varus",47.5,40521,2.24,180.62,12358,"Silver","Bot"
"Kindred",47.49,53763,2.01,167.18,12396,"Silver","Jungle"
"Kennen",47.42,26619,2,162.04,11203,"Silver","Top"
"Kalista",47.41,22419,2.11,191.31,12917,"Silver","Bot"
"Rengar",47.19,54117,2.01,161.88,12653,"Silver","Jungle"
"Sylas",47.18,99249,1.99,139.7,11244,"Silver","Mid"
"Jayce",47.06,65267,1.89,186.27,12727,"Silver","Top"
"Syndra",47,59088,2.18,175.66,11733,"Silver","Mid"
"Gangplank",46.66,118376,1.93,202.98,13908,"Silver","Top"
"Zoé",46.63,32948,2.3,141.31,10960,"Silver","Mid"
"Qiyana",46.62,80395,2.04,159.07,12021,"Silver","Mid"
"LeBlanc",46.32,63642,2.56,138.25,11031,"Silver","Mid"
"Gwen",46.29,112825,1.79,182.69,12009,"Silver","Top"
"Aatrox",46.25,53634,1.84,172.05,11509,"Silver","Top"
"Thresh",46.23,142674,2.4,37.66,8103,"Silver","Support"
"Rek'Sai",46.23,27419,2.18,145.43,11901,"Silver","Jungle"
"Rumble",46.05,20601,2.05,167.37,11649,"Silver","Top"
"Gragas",45.78,45081,2.21,142.96,10408,"Silver","Top"
"Renekton",45.77,63733,1.82,190.66,12019,"Silver","Top"
"Olaf",45.73,23198,2.02,164.89,11887,"Silver","Jungle"
"Aphelios",45.66,67378,1.95,185.75,12167,"Silver","Bot"
"Lee Sin",45,163448,2.36,146.78,11549,"Silver","Jungle"
"Twisted Fate",44.51,39960,1.93,150.2,11336,"Silver","Mid"
"Nidalee",44.45,28656,2.29,137.43,11158,"Silver","Jungle"
"Ryze",43.3,43394,1.96,202.12,11783,"Silver","Mid"
"Azir",43.3,16640,1.89,177.48,11373,"Silver","Mid"
"Garen",54.55,170040,2.21,204.67,13025,"Gold","Top"
"Sona",53.48,54766,3,18.56,8344,"Gold","Support"
"Urgot",53.37,73333,1.96,207.12,13018,"Gold","Top"
"Dr. Mundo",53.34,55283,2.35,192.27,11953,"Gold","Top"
"Soraka",53.18,91093,2.81,23.1,7812,"Gold","Support"
"Kayle",53.11,74198,1.96,222.18,12909,"Gold","Top"
"Vayne",52.99,232583,2.14,189.33,12667,"Gold","Bot"
"Zyra",52.89,75254,2.1,57.85,9850,"Gold","Support"
"Veigar",52.84,185523,2.38,185.54,12373,"Gold","Mid"
"Ahri",52.81,194472,2.56,174.52,11803,"Gold","Mid"
"Trundle",52.78,96098,2.34,171.93,12154,"Gold","Jungle"
"Blitzcrank",52.67,102060,2.55,35.02,8182,"Gold","Support"
"Rammus",52.65,36604,2.88,137.57,10861,"Gold","Jungle"
"Ziggs",52.53,39610,2.46,195.04,12303,"Gold","Mid"
"Fizz",52.51,65514,2.44,162.09,12262,"Gold","Mid"
"Singed",52.43,34178,2.06,183.36,11546,"Gold","Top"
"Warwick",52.41,78500,2.29,149.93,11845,"Gold","Jungle"
"Janna",52.37,123860,3.14,17.35,7874,"Gold","Support"
"Cassiopeia",52.35,65215,2.03,198.19,12370,"Gold","Mid"
"Vi",52.34,89431,2.43,160.7,11914,"Gold","Jungle"
"Anivia",52.3,56472,2.55,184.77,12090,"Gold","Mid"
"Nunu et Willump",52.27,67089,2.93,143.49,10899,"Gold","Jungle"
"Yorick",52.25,51649,1.52,207.07,12467,"Gold","Top"
"Senna",52.21,205924,2.69,60.78,10760,"Gold","Support"
"Kha'Zix",52.19,125966,2.52,162.86,12579,"Gold","Jungle"
"Quinn",52.19,34251,1.9,178.26,12571,"Gold","Top"
"Maître Yi",52.11,120794,2.03,172.72,12986,"Gold","Jungle"
"Zac",52.07,79169,3.5,144.76,11068,"Gold","Jungle"
"Nasus",52.03,79134,2.02,186.2,12048,"Gold","Top"
"Shaco",52,119372,2.69,139.67,12043,"Gold","Jungle"
"Jhin",51.99,329921,2.96,192,12757,"Gold","Bot"
"Sivir",51.97,42719,2.55,215.47,12818,"Gold","Bot"
"Kog'Maw",51.9,23852,2.2,193.87,13001,"Gold","Bot"
"Nami",51.82,135520,3.19,13.86,8358,"Gold","Support"
"Shen",51.78,80277,2.94,144.74,10337,"Gold","Top"
"Amumu",51.69,61268,2.6,148.86,11035,"Gold","Jungle"
"Malzahar",51.65,67436,2.15,202.66,12189,"Gold","Mid"
"Akshan",51.62,95089,2.1,183.14,12997,"Gold","Mid"
"Mordekaiser",51.62,78064,1.95,184.03,12179,"Gold","Top"
"Tristana",51.61,113139,2.37,195.26,13056,"Gold","Bot"
"Volibear",51.61,89875,2.27,165.94,11755,"Gold","Jungle"
"Heimerdinger",51.61,21421,1.84,170.03,11581,"Gold","Mid"
"Diana",51.6,209362,2.33,186.27,12680,"Gold","Jungle"
"Zilean",51.57,75429,3.14,69.91,9006,"Gold","Support"
"Skarner",51.57,10363,2.79,151.68,10826,"Gold","Jungle"
"Sejuani",51.54,45615,3.12,154.72,11267,"Gold","Jungle"
"Xerath",51.48,142315,2.78,113.64,11333,"Gold","Mid"
"Twitch",51.48,127105,2.37,163.79,12755,"Gold","Bot"
"Ekko",51.48,126557,2.51,172.89,12336,"Gold","Mid"
"Ornn",51.47,48508,2.36,171.35,10833,"Gold","Top"
"Fiddlesticks",51.45,48249,2.65,159.87,11569,"Gold","Jungle"
"Annie",51.42,34542,2.33,155.15,11464,"Gold","Mid"
"Shyvana",51.41,42177,2.49,197.06,12550,"Gold","Jungle"
"Zeri",51.26,227511,2.37,201.15,12909,"Gold","Bot"
"Miss Fortune",51.26,112801,2.35,190.94,12805,"Gold","Bot"
"Cho'Gath",51.25,50252,2.2,180.64,11816,"Gold","Top"
"Maokai",51.19,16742,2.26,63.44,8961,"Gold","Support"
"Hecarim",51.12,116193,2.95,170.13,12182,"Gold","Jungle"
"Malphite",51.12,75710,2.49,149.43,10711,"Gold","Top"
"Kled",51.1,21116,2.36,169.35,12189,"Gold","Top"
"Brand",51.08,100376,1.84,79.54,10536,"Gold","Support"
"Kassadin",51.06,53095,2.42,178.15,12181,"Gold","Mid"
"Riven",51.01,66217,2,192.66,12325,"Gold","Top"
"Viktor",51,126309,2.28,197.19,12422,"Gold","Mid"
"Vel'Koz",50.94,69939,2.39,125.54,10942,"Gold","Mid"
"Lux",50.93,273059,2.7,96.71,10501,"Gold","Mid"
"Tahm Kench",50.91,42597,2.56,124.96,10234,"Gold","Top"
"Udyr",50.9,25707,2.53,181.29,11933,"Gold","Jungle"
"Neeko",50.89,27993,2.21,136.48,11027,"Gold","Mid"
"Jinx",50.87,323656,2.41,202.49,12555,"Gold","Bot"
"Teemo",50.85,83745,1.71,185.88,12403,"Gold","Top"
"Morgana",50.79,109668,2.54,52.38,9414,"Gold","Support"
"Vladimir",50.77,66812,2.3,193.44,12080,"Gold","Mid"
"Lulu",50.66,145768,3.13,19.7,7992,"Gold","Support"
"Illaoi",50.64,29968,1.41,213.08,12636,"Gold","Top"
"Fiora",50.6,78845,1.74,188.85,12305,"Gold","Top"
"Xin Zhao",50.54,96097,2.32,159.23,11709,"Gold","Jungle"
"Ashe",50.45,74553,2.39,170.87,11745,"Gold","Bot"
"Zed",50.44,120034,2.27,177.4,12675,"Gold","Mid"
"Leona",50.4,98244,2.44,36.44,8068,"Gold","Support"
"Sion",50.38,94097,1.46,204.46,12309,"Gold","Top"
"Lillia",50.38,47963,2.47,186,12321,"Gold","Jungle"
"Kayn",50.36,157658,2.31,176.21,12619,"Gold","Jungle"
"Taric",50.36,14973,2.73,48.84,8158,"Gold","Support"
"Aurelion Sol",50.36,11462,2.39,166.89,11251,"Gold","Mid"
"Tryndamere",50.34,101449,1.81,218.66,13451,"Gold","Top"
"Wukong",50.33,33163,2.19,171.84,12099,"Gold","Top"
"Swain",50.31,41283,2.31,70.9,10213,"Gold","Support"
"Bard",50.15,44233,2.98,26.36,8636,"Gold","Support"
"Sett",50.13,98634,1.78,170.73,11905,"Gold","Top"
"Yone",50.12,155224,1.77,201.3,12735,"Gold","Mid"
"Graves",50.08,105760,2.15,205.41,12877,"Gold","Jungle"
"Yasuo",50.07,192682,1.69,208.36,12820,"Gold","Mid"
"Irelia",50.06,115346,1.71,221.61,13344,"Gold","Top"
"Viego",50.01,156827,2.32,165.63,12244,"Gold","Jungle"
"Xayah",49.98,51352,2.37,204.27,12807,"Gold","Bot"
"Pyke",49.95,138093,2.18,45.32,11576,"Gold","Support"
"Darius",49.93,105265,1.83,191.92,12372,"Gold","Top"
"Nautilus",49.91,96906,2.38,39.82,8135,"Gold","Support"
"Rek'Sai",49.91,29276,2.4,150.11,12149,"Gold","Jungle"
"Katarina",49.88,93401,2.22,161.25,12363,"Gold","Mid"
"Poppy",49.88,49214,2.42,145.63,10952,"Gold","Jungle"
"Alistar",49.87,40529,2.54,36.09,7985,"Gold","Support"
"Séraphine",49.85,54464,2.62,83.77,9703,"Gold","Support"
"Vex",49.83,109510,2.36,151.62,11400,"Gold","Mid"
"Evelynn",49.78,46524,2.8,148.88,12216,"Gold","Jungle"
"Braum",49.72,31151,2.87,35.02,7994,"Gold","Support"
"Camille",49.69,62803,1.91,172.27,11725,"Gold","Top"
"Jarvan IV",49.62,70717,3.14,150.35,11640,"Gold","Jungle"
"Talon",49.52,32233,2.16,178.7,12917,"Gold","Mid"
"Rell",49.5,15756,2.39,34.25,8072,"Gold","Support"
"Draven",49.49,69018,2.01,193.22,13493,"Gold","Bot"
"Lissandra",49.49,39620,2.33,174.68,11528,"Gold","Mid"
"Kai'Sa",49.47,176462,2.4,200.58,12904,"Gold","Bot"
"Rakan",49.45,54147,2.87,36.41,7995,"Gold","Support"
"Jax",49.39,82179,1.62,186.45,12350,"Gold","Top"
"Gnar",49.26,46513,1.92,183.84,11743,"Gold","Top"
"Galio",49.23,29636,2.51,109.13,9719,"Gold","Support"
"Pantheon",49.19,42348,2.06,109.83,10976,"Gold","Support"
"Yuumi",49.16,113422,4.16,7.09,8042,"Gold","Support"
"Elise",49.14,27815,2.41,137.83,11360,"Gold","Jungle"
"Akali",49.08,139096,2.27,160.93,11724,"Gold","Mid"
"Taliyah",49.05,14514,2.32,135.35,11660,"Gold","Jungle"
"Kindred",49.04,41894,2.12,172.17,12542,"Gold","Jungle"
"Rengar",48.93,50110,2.11,167.57,12811,"Gold","Jungle"
"Caitlyn",48.85,216187,2.25,196.35,12589,"Gold","Bot"
"Ivern",48.69,15314,3.11,116.07,9429,"Gold","Jungle"
"Karma",48.57,99579,2.68,46.27,8790,"Gold","Support"
"Lucian",48.55,102772,2.23,202.67,12994,"Gold","Bot"
"Qiyana",48.53,80007,2.12,165.06,12241,"Gold","Mid"
"Zoé",48.5,28419,2.45,151.99,11239,"Gold","Mid"
"Ezreal",48.39,243276,2.39,190.63,12764,"Gold","Bot"
"Sylas",48.36,83404,2.05,148.43,11381,"Gold","Mid"
"Samira",48.27,84924,2.13,190.75,13010,"Gold","Bot"
"Aatrox",48.16,57168,1.93,179.56,11758,"Gold","Top"
"Gwen",48.11,103895,1.87,190.47,12228,"Gold","Top"
"Orianna",47.95,45174,2.59,185.35,11466,"Gold","Mid"
"Corki",47.9,90922,2.07,203.19,13258,"Gold","Mid"
"Kalista",47.83,18040,2.16,199.19,13047,"Gold","Bot"
"Rumble",47.79,16484,2.16,173.57,11819,"Gold","Top"
"Syndra",47.61,47699,2.19,184.95,11841,"Gold","Mid"
"Varus",47.51,28216,2.27,189.79,12542,"Gold","Bot"
"Thresh",47.49,126613,2.5,36.84,8058,"Gold","Support"
"Jayce",47.4,59086,1.85,195.12,12844,"Gold","Top"
"Karthus",47.24,29174,2.24,197.59,13255,"Gold","Jungle"
"Kennen",47.22,19724,2.04,171.59,11405,"Gold","Top"
"Gangplank",47.18,110203,1.96,209.76,14091,"Gold","Top"
"LeBlanc",46.94,54050,2.64,146.56,11199,"Gold","Mid"
"Nidalee",46.83,25838,2.5,149.39,11565,"Gold","Jungle"
"Renekton",46.52,51712,1.83,198.14,12190,"Gold","Top"
"Olaf",46.47,17083,2.11,171.02,12070,"Gold","Jungle"
"Gragas",46.33,46095,2.29,149.95,10543,"Gold","Top"
"Twisted Fate",46.04,38985,2.06,157.57,11470,"Gold","Mid"
"Lee Sin",45.97,152630,2.5,149.51,11599,"Gold","Jungle"
"Azir",44.98,15669,2,189.91,11736,"Gold","Mid"
"Aphelios",44.92,65426,1.95,192.98,12233,"Gold","Bot"
"Ryze",43.8,35236,2.02,211.84,11960,"Gold","Mid"
"Garen",53.78,67779,2.13,207.05,12815,"Platinium","Top"
"Soraka",53.56,47885,2.86,25.03,7656,"Platinium","Support"
"Ahri",53.41,99686,2.65,179.51,11775,"Platinium","Mid"
"Janna",53.37,73522,3.25,16.98,7742,"Platinium","Support"
"Kha'Zix",53.31,72187,2.63,163.58,12462,"Platinium","Jungle"
"Urgot",53.11,26858,1.93,207.63,12856,"Platinium","Top"
"Fizz",53.08,29056,2.48,168.64,12212,"Platinium","Mid"
"Senna",53.06,96166,2.77,59.25,10576,"Platinium","Support"
"Sona",53.05,27908,3.03,17.95,8103,"Platinium","Support"
"Vayne",53.03,109016,2.15,191.99,12497,"Platinium","Bot"
"Blitzcrank",52.91,46785,2.57,34.18,8015,"Platinium","Support"
"Anivia",52.91,27680,2.57,187.59,11953,"Platinium","Mid"
"Cassiopeia",52.86,31649,2.04,201.63,12251,"Platinium","Mid"
"Vi",52.82,29775,2.49,161.69,11790,"Platinium","Jungle"
"Kayle",52.8,34904,1.92,223.15,12706,"Platinium","Top"
"Dr. Mundo",52.78,19890,2.27,193.7,11719,"Platinium","Top"
"Veigar",52.66,86451,2.37,189.46,12211,"Platinium","Mid"
"Nunu et Willump",52.63,37746,3.02,142.83,10666,"Platinium","Jungle"
"Skarner",52.52,5297,2.89,155.32,10827,"Platinium","Jungle"
"Riven",52.51,39500,2.04,196.88,12268,"Platinium","Top"
"Zeri",52.41,114742,2.42,204.01,12840,"Platinium","Bot"
"Quinn",52.4,16196,1.93,180.14,12452,"Platinium","Top"
"Rek'Sai",52.34,19661,2.54,150.74,12027,"Platinium","Jungle"
"Shen",52.33,34838,2.96,149.1,10216,"Platinium","Top"
"Zac",52.26,42224,3.54,146.31,10930,"Platinium","Jungle"
"Trundle",52.26,37502,2.32,171.81,11928,"Platinium","Jungle"
"Warwick",52.21,29486,2.3,151.68,11586,"Platinium","Jungle"
"Singed",52.19,17345,2.14,181.9,11316,"Platinium","Top"
"Tahm Kench",52.19,16687,2.63,120.52,9888,"Platinium","Top"
"Mordekaiser",52.16,29326,1.92,186.56,11993,"Platinium","Top"
"Zyra",52.12,27027,2.08,54.88,9622,"Platinium","Support"
"Ornn",52.06,24438,2.4,173.96,10683,"Platinium","Top"
"Shaco",52.04,46485,2.76,142.47,11924,"Platinium","Jungle"
"Zilean",52,48583,3.24,71.9,8811,"Platinium","Support"
"Fiddlesticks",51.98,24501,2.72,158.75,11373,"Platinium","Jungle"
"Jhin",51.94,157182,3.01,195.47,12601,"Platinium","Bot"
"Rammus",51.94,13532,2.98,137.62,10660,"Platinium","Jungle"
"Ziggs",51.91,16063,2.44,202.05,12299,"Platinium","Mid"
"Akshan",51.9,49680,2.11,186.01,12935,"Platinium","Mid"
"Twitch",51.84,65650,2.37,166.33,12599,"Platinium","Bot"
"Volibear",51.72,37020,2.28,166.85,11592,"Platinium","Jungle"
"Kassadin",51.7,31884,2.48,184,12108,"Platinium","Mid"
"Maokai",51.66,7277,2.22,59.26,8766,"Platinium","Support"
"Sejuani",51.62,20216,3.18,155.87,11118,"Platinium","Jungle"
"Diana",51.6,94636,2.39,186.71,12537,"Platinium","Jungle"
"Vel'Koz",51.58,27300,2.44,133.56,10857,"Platinium","Mid"
"Nami",51.51,77176,3.24,13.61,8230,"Platinium","Support"
"Kog'Maw",51.5,11823,2.18,197.4,12872,"Platinium","Bot"
"Hecarim",51.47,63692,3.02,172.88,12147,"Platinium","Jungle"
"Cho'Gath",51.46,20880,2.17,182.99,11606,"Platinium","Top"
"Jinx",51.38,164647,2.43,205.7,12462,"Platinium","Bot"
"Tristana",51.38,43575,2.39,198.4,12898,"Platinium","Bot"
"Kled",51.32,11747,2.34,171.85,12040,"Platinium","Top"
"Fiora",51.31,41732,1.72,191.74,12226,"Platinium","Top"
"Lulu",51.3,77211,3.2,19.49,7868,"Platinium","Support"
"Yorick",51.22,17186,1.45,208.72,12313,"Platinium","Top"
"Ekko",51.2,60569,2.59,176.24,12279,"Platinium","Mid"
"Xin Zhao",51.11,49718,2.38,159.21,11584,"Platinium","Jungle"
"Vladimir",51.11,38120,2.38,197.26,11985,"Platinium","Mid"
"Rengar",51.11,26223,2.22,169.19,12753,"Platinium","Jungle"
"Malzahar",51.09,23137,2.12,203.01,11921,"Platinium","Mid"
"Malphite",51.07,30231,2.46,156.46,10515,"Platinium","Top"
"Zed",51.06,55474,2.31,181.29,12578,"Platinium","Mid"
"Heimerdinger",51.05,8751,1.84,170.98,11475,"Platinium","Mid"
"Sivir",51.04,15574,2.53,220.9,12814,"Platinium","Bot"
"Nasus",51.03,27719,1.93,185.48,11737,"Platinium","Top"
"Ashe",51.02,28987,2.41,175.23,11622,"Platinium","Bot"
"Annie",51.01,12409,2.36,157.82,11262,"Platinium","Mid"
"Maître Yi",50.95,40618,2.06,172.08,12813,"Platinium","Jungle"
"Tryndamere",50.89,42343,1.83,219.09,13297,"Platinium","Top"
"Kayn",50.86,67806,2.4,178.34,12571,"Platinium","Jungle"
"Viktor",50.83,66751,2.28,201.66,12273,"Platinium","Mid"
"Katarina",50.82,44544,2.31,164.28,12269,"Platinium","Mid"
"Bard",50.82,26807,3.07,24.99,8466,"Platinium","Support"
"Xerath",50.72,64462,2.83,119.62,11239,"Platinium","Mid"
"Taric",50.7,6805,2.8,48.18,7992,"Platinium","Support"
"Taliyah",50.63,8896,2.42,135.98,11590,"Platinium","Jungle"
"Kindred",50.61,21846,2.25,174.24,12536,"Platinium","Jungle"
"Camille",50.59,41032,1.92,175.61,11668,"Platinium","Top"
"Miss Fortune",50.58,30912,2.36,194.56,12694,"Platinium","Bot"
"Illaoi",50.55,12329,1.35,217.75,12609,"Platinium","Top"
"Evelynn",50.53,23006,2.96,150.65,12100,"Platinium","Jungle"
"Udyr",50.46,10533,2.64,181.92,11738,"Platinium","Jungle"
"Talon",50.44,15861,2.24,181.46,12869,"Platinium","Mid"
"Poppy",50.43,22122,2.47,146.77,10838,"Platinium","Jungle"
"Alistar",50.42,18530,2.59,35.33,7815,"Platinium","Support"
"Graves",50.4,57549,2.18,207.34,12806,"Platinium","Jungle"
"Irelia",50.4,53769,1.68,223.28,13171,"Platinium","Top"
"Yasuo",50.39,81176,1.73,210.09,12648,"Platinium","Mid"
"Pyke",50.38,67686,2.24,45.51,11369,"Platinium","Support"
"Aurelion Sol",50.37,6156,2.55,173.34,11342,"Platinium","Mid"
"Xayah",50.36,25939,2.38,208.3,12705,"Platinium","Bot"
"Lissandra",50.35,20424,2.35,180,11422,"Platinium","Mid"
"Teemo",50.33,24767,1.69,189.91,12262,"Platinium","Top"
"Lux",50.31,96058,2.74,101.25,10408,"Platinium","Mid"
"Amumu",50.27,17544,2.54,146.86,10803,"Platinium","Jungle"
"Neeko",50.27,10390,2.17,138.85,10927,"Platinium","Mid"
"Draven",50.24,41039,2.01,196.37,13418,"Platinium","Bot"
"Vex",50.2,47184,2.4,157.15,11338,"Platinium","Mid"
"Leona",50.2,40652,2.41,35.75,7855,"Platinium","Support"
"Swain",50.2,14431,2.37,86.81,10298,"Platinium","Support"
"Shyvana",50.12,16242,2.46,198.33,12421,"Platinium","Jungle"
"Kai'Sa",50.1,84834,2.44,203.29,12768,"Platinium","Bot"
"Darius",50.09,48433,1.85,195.39,12283,"Platinium","Top"
"Morgana",50.05,36611,2.57,49.01,9121,"Platinium","Support"
"Sett",50.03,42305,1.78,172.01,11722,"Platinium","Top"
"Rell",50,8126,2.45,33.84,7914,"Platinium","Support"
"Rakan",49.99,29665,2.97,35.9,7865,"Platinium","Support"
"Braum",49.98,13344,2.89,34.28,7814,"Platinium","Support"
"Lillia",49.96,20008,2.59,189.18,12260,"Platinium","Jungle"
"Wukong",49.95,15815,2.1,173.68,11903,"Platinium","Top"
"Galio",49.95,12738,2.59,111.79,9605,"Platinium","Support"
"Qiyana",49.93,48896,2.21,167.41,12277,"Platinium","Mid"
"Jarvan IV",49.92,39931,3.22,150.19,11497,"Platinium","Jungle"
"Pantheon",49.83,17681,2.1,119.1,11047,"Platinium","Support"
"Yone",49.82,70695,1.75,204.62,12597,"Platinium","Mid"
"Séraphine",49.82,26375,2.69,101.87,9796,"Platinium","Support"
"Brand",49.8,37128,1.83,82.5,10418,"Platinium","Support"
"Sylas",49.79,46554,2.1,152.71,11309,"Platinium","Mid"
"Jax",49.72,36191,1.58,189.79,12231,"Platinium","Top"
"Aatrox",49.67,35563,1.97,182.31,11705,"Platinium","Top"
"Nautilus",49.62,40756,2.36,37.98,7916,"Platinium","Support"
"Viego",49.61,78812,2.39,165.55,12140,"Platinium","Jungle"
"Zoé",49.57,15741,2.53,158.54,11332,"Platinium","Mid"
"Gnar",49.55,23507,1.92,187.83,11646,"Platinium","Top"
"Elise",49.54,14805,2.51,135.81,11204,"Platinium","Jungle"
"Karma",49.53,61317,2.78,45.45,8617,"Platinium","Support"
"Sion",49.52,43534,1.43,207.34,12149,"Platinium","Top"
"Akali",49.36,64062,2.29,166.36,11652,"Platinium","Mid"
"Olaf",49.21,8329,2.25,173.03,12022,"Platinium","Jungle"
"Lucian",49.2,44459,2.21,204.2,12827,"Platinium","Bot"
"Caitlyn",49.15,90321,2.27,199.82,12507,"Platinium","Bot"
"Ivern",49.02,9840,3.25,117.15,9279,"Platinium","Jungle"
"Gwen",48.84,54590,1.93,193.07,12214,"Platinium","Top"
"Nidalee",48.75,14328,2.76,156.97,11660,"Platinium","Jungle"
"Kalista",48.72,9112,2.21,203.14,13002,"Platinium","Bot"
"Yuumi",48.7,56395,4.13,6.78,7897,"Platinium","Support"
"Ezreal",48.58,109233,2.37,194.83,12626,"Platinium","Bot"
"Orianna",48.45,22617,2.6,192.3,11445,"Platinium","Mid"
"Samira",48.28,38174,2.14,192.11,12896,"Platinium","Bot"
"Jayce",48.04,32070,1.83,198.76,12722,"Platinium","Top"
"Gragas",48.03,27478,2.35,154.22,10529,"Platinium","Top"
"Rumble",47.99,8365,2.24,175,11734,"Platinium","Top"
"Gangplank",47.96,49421,2,212.09,14064,"Platinium","Top"
"Thresh",47.87,61216,2.56,35.45,7881,"Platinium","Support"
"Kennen",47.78,8735,2.01,176,11300,"Platinium","Top"
"Karthus",47.75,19652,2.24,199.35,13124,"Platinium","Jungle"
"LeBlanc",47.73,25797,2.7,151.81,11158,"Platinium","Mid"
"Corki",47.53,39510,2.08,207.91,13134,"Platinium","Mid"
"Lee Sin",47.32,80586,2.63,150.3,11545,"Platinium","Jungle"
"Syndra",47.25,23517,2.18,189.08,11724,"Platinium","Mid"
"Twisted Fate",47.17,19798,2.19,162.62,11478,"Platinium","Mid"
"Varus",47,12714,2.29,194.12,12502,"Platinium","Bot"
"Azir",46.96,8428,2.12,196.2,11857,"Platinium","Mid"
"Renekton",46.81,24559,1.82,200.41,12130,"Platinium","Top"
"Aphelios",45.36,40498,1.98,195.15,12136,"Platinium","Bot"
"Ryze",44.54,17414,2.1,214.58,11851,"Platinium","Mid"
"Janna",53.27,29783,3.35,16.63,7559,"Diamond","Support"
"Riven",53.25,14804,2.05,195.72,11970,"Diamond","Top"
"Rek'Sai",52.99,10025,2.63,149.35,11762,"Diamond","Jungle"
"Quinn",52.94,5652,1.94,176.36,12211,"Diamond","Top"
"Fizz",52.92,8694,2.49,169.48,11808,"Diamond","Mid"
"Rengar",52.88,10107,2.39,168.12,12569,"Diamond","Jungle"
"Ahri",52.76,31239,2.68,179.77,11493,"Diamond","Mid"
"Blitzcrank",52.76,15355,2.57,32.51,7733,"Diamond","Support"
"Zeri",52.6,40330,2.43,203.31,12573,"Diamond","Bot"
"Fiddlesticks",52.58,9194,2.88,160.2,11143,"Diamond","Jungle"
"Soraka",52.51,17056,2.87,27.99,7482,"Diamond","Support"
"Garen",52.51,15388,2.03,204.39,12378,"Diamond","Top"
"Senna",52.42,30098,2.79,56.89,10200,"Diamond","Support"
"Kha'Zix",52.41,25932,2.7,162.52,12136,"Diamond","Jungle"
"Rammus",52.36,3396,3.07,134.34,10388,"Diamond","Jungle"
"Sona",52.31,11178,3,17,7799,"Diamond","Support"
"Anivia",52.31,8510,2.52,181.87,11472,"Diamond","Mid"
"Tahm Kench",52.3,4516,2.6,104.72,9195,"Diamond","Top"
"Shen",52.21,11242,2.96,147.96,9826,"Diamond","Top"
