"champion","winrate","nb_game","kd_rate","nb_kill_mobs","gold","ligue","role"
"Katarina",46.66,8407,1.9,123.07,11006,"Iron","Mid"
"Varus",46.57,5050,1.92,138.62,10683,"Iron","Bot"
"Wukong",46.43,3765,1.86,126.14,10391,"Iron","Top"
"Vex",46.4,17275,1.88,111.07,9915,"Iron","Mid"
"Ashe",46.4,15553,1.96,127.48,10259,"Iron","Bot"
"Jarvan IV",46.39,2964,2.46,135.27,10850,"Iron","Jungle"
"Quinn",46.37,2918,1.67,141.28,11176,"Iron","Top"
"Aphelios",46.26,6062,1.78,146.93,10870,"Iron","Bot"
"Kha'Zix",46.14,9552,1.85,137.21,11259,"Iron","Jungle"
"Janna",46.09,4114,2.42,19.55,7709,"Iron","Support"
"Nunu et Willump",46.07,6138,2.25,124.84,10057,"Iron","Jungle"
"Fiora",45.92,6537,1.6,137.45,10640,"Iron","Top"
"Graves",45.79,5315,1.85,168.58,11516,"Iron","Jungle"
"Lulu",45.79,4639,2.32,20.92,7646,"Iron","Support"
"Xayah",45.74,6060,1.85,148.71,10852,"Iron","Bot"
"Ezreal",45.73,15533,1.98,136.1,10854,"Iron","Bot"
"Camille",45.7,2967,1.66,127.53,10244,"Iron","Top"
"Qiyana",45.69,6259,1.71,130.68,10590,"Iron","Mid"
"Rumble",45.65,1321,1.74,138.05,10578,"Iron","Top"
"Kennen",45.54,3072,1.78,124.85,9962,"Iron","Top"
"Zilean",45.46,2534,2.22,52.25,8503,"Iron","Support"
"Lucian",45.41,7846,1.88,154.5,11353,"Iron","Bot"
"Kalista",45.3,1810,1.85,152.17,11331,"Iron","Bot"
"Syndra",45.28,3200,1.86,140.24,10368,"Iron","Mid"
"Taliyah",45.26,1003,1.82,114.47,10377,"Iron","Jungle"
"Corki",45.21,4032,1.73,156.28,11651,"Iron","Mid"
"Darius",45.13,13235,1.56,143.13,10579,"Iron","Top"
"Annie",45.08,4270,1.87,113.89,9929,"Iron","Mid"
"Renekton",44.86,7085,1.57,149.51,10500,"Iron","Top"
