,saison,rank,champion,tot_win,tot_lose,avg_kills,avg_deaths,avg_assists,gold,nb_kill_mobs,max_kills,max_deaths,avg_dmg_dealt,avg_dmg_taken,dk,tk,qk,quintu
66,Saison 3,45,Riven,1V,0,13.,/11,0/1,"15,427",158.0(0.0),13,11,"133,665","30,626",,,,
67,Saison 3,46,Tristana,0,1 D,3.0,3.0,0.0,"5,932",125.0(0.0),3,3,"46,224","7,462",1,,,
68,Saison 3,47,Kayle,0,1 D,3.0,14.,/13,"13,922",216.0(0.0),3,14,"202,613","38,715",,,,
69,Saison 3,48,Fiddlesticks,0,1 D,2.0,6.0,1.0,"5,153",87.0(0.0),2,6,"40,008","10,992",,,,
70,Saison 3,49,Xin Zhao,0,1 D,2.0,9.0,16.,"8,655",77.0(0.0),2,9,"145,173","30,945",,,,
71,Saison 3,50,Aatrox,0,1 D,12.,/5.,/12,"17,894",94.0(0.0),12,5,"232,721","60,983",1,,,
72,Saison 4,1,Brand,80V,56 D,8.9,5.9,7.4,"12,426",168.7(0.0),21,13,"117,355","19,692",129,11,1,
73,Saison 4,2,Varus,40V,30 D,8.6,5.9,7.6,"12,790",190.8(0.0),20,14,"137,494","20,482",74,12,3,
74,Saison 4,3,Pantheon,29V,24 D,8.2,6.3,5.5,"11,945",175.2(0.0),16,13,"122,512","22,494",52,10,1,1
75,Saison 4,4,Akali,26V,20 D,9.6,7.2,6.2,"12,580",163.1(0.0),24,14,"114,447","31,610",53,11,2,
76,Saison 4,5,Twitch,22V,22 D,8.9,5.2,6.0,"11,462",162.8(0.0),20,11,"100,552","20,262",56,7,1,
77,Saison 4,6,Lissandra,23V,20 D,5.3,5.3,7.7,"11,337",197.7(0.0),13,13,"132,377","19,845",23,2,,
78,Saison 4,7,Ziggs,22V,19 D,6.4,5.0,7.0,"11,777",198.1(0.0),14,12,"152,953","15,724",19,3,,
79,Saison 4,8,Talon,18V,8 D,10.,/8.,/6.,"12,661",166.5(0.0),19,14,"128,504","21,086",36,4,,
80,Saison 4,9,Orianna,9V,16 D,4.4,4.9,5.8,"10,105",168.5(0.0),10,10,"115,952","14,600",7,1,,
81,Saison 4,10,Graves,9V,12 D,6.2,5.5,6.9,"11,154",186.1(0.0),14,10,"118,358","19,757",16,4,,
82,Saison 4,11,Warwick,6V,6 D,4.7,2.9,7.8,"10,345",139.8(0.0),10,6,"72,923","30,343",5,1,,
83,Saison 4,12,Hecarim,2V,5 D,4.6,7.7,8.1,"10,271",47.0(0.0),6,10,"133,549","32,266",4,1,,
84,Saison 4,13,Nidalee,3V,3 D,6.3,5.8,5.5,"11,167",174.0(0.0),11,11,"125,776","24,523",3,1,,
85,Saison 4,14,Karthus,2V,3 D,6.4,5.0,6.6,"12,163",193.6(0.0),13,13,"173,085","19,789",4,,,
86,Saison 4,15,Blitzcrank,2V,1 D,1.7,4.7,10.,"7,830",18.0(0.0),2,5,"25,044","17,308",,,,
87,Saison 4,16,Leona,2V,1 D,2.0,3.0,11.,"8,328",50.0(0.0),3,5,"33,538","17,362",,,,
88,Saison 4,17,Ezreal,0,3 D,5.0,6.7,3.0,"8,270",132.7(0.0),9,9,"78,421","15,534",,,,
89,Saison 4,18,Soraka,1V,1 D,1.0,3.5,10.,"6,963",17.5(0.0),2,4,"14,117","12,384",,,,
90,Saison 4,19,Janna,1V,1 D,1.5,5.5,17.,"10,515",22.5(0.0),2,6,"24,003","20,943",,,,
91,Saison 4,20,Tristana,0,2 D,3.0,5.5,3.0,"7,328",133.0(0.0),5,8,"62,070","16,495",,,,
92,Saison 4,21,Quinn,1V,0,9.0,10.,/9.,"20,577",348.0(0.0),9,10,"272,814","35,755",,,,
93,Saison 4,22,Jax,1V,0,8.0,5.0,8.0,"12,247",49.0(0.0),8,5,"166,728","27,508",1,,,
94,Saison 4,23,Kog'Maw,1V,0,16.,/5.,/10,"15,128",150.0(0.0),16,5,"125,125","23,944",5,,,
95,Saison 4,24,Corki,0,1 D,13.,/13,0/1,"18,557",219.0(0.0),13,13,"236,617","40,739",2,,,
96,Saison 4,25,Fizz,0,1 D,6.0,5.0,3.0,"8,393",116.0(0.0),6,5,"73,112","22,520",,,,
97,Saison 4,26,Swain,0,1 D,2.0,7.0,5.0,"6,659",91.0(0.0),2,7,"41,140","21,116",,,,
98,Saison 4,27,Irelia,0,1 D,6.0,11.,/5.,"11,633",184.0(0.0),6,11,"109,458","49,137",,,,
99,Saison 4,28,Kassadin,0,1 D,7.0,6.0,11.,"17,028",254.0(0.0),7,6,"213,179","30,878",1,,,
100,Saison 4,29,Fiddlesticks,0,1 D,9.0,5.0,7.0,"11,487",51.0(0.0),9,5,"140,563","33,518",1,,,
101,Saison 4,30,Gangplank,0,1 D,4.0,4.0,5.0,"7,855",112.0(0.0),4,4,"47,920","15,928",,,,
102,Saison 5,1,Cassiopeia,76V,63 D,8.4,5.3,6.3,"12,120",189.7(0.0),21,13,"132,316","19,867",145,28,6,
103,Saison 5,2,Corki,67V,50 D,8.3,4.6,7.9,"12,922",206.9(0.0),23,12,"157,629","20,239",139,28,6,1
104,Saison 5,3,Brand,48V,36 D,9.4,6.4,9.2,"12,765",156.2(0.0),20,13,"127,237","20,833",70,8,2,1
105,Saison 5,4,Twisted Fate,21V,16 D,8.6,6.0,9.3,"13,645",182.8(0.0),24,11,"152,286","19,619",38,7,3,
106,Saison 5,5,Orianna,21V,14 D,5.7,4.2,7.4,"10,872",177.0(0.0),16,11,"120,292","13,208",21,1,1,
