,saison,rank,champion,tot_win,tot_lose,avg_kills,avg_deaths,avg_assists,gold,nb_kill_mobs,max_kills,max_deaths,avg_dmg_dealt,avg_dmg_taken,dk,tk,qk,quintu
223,Saison 7,33,Jayce,0,3 D,8.0,8.0,6.3,"10,700",152.7(0.0),16,12,"106,747","25,592",,,,
224,Saison 7,34,Malzahar,1V,1 D,8.0,7.0,8.5,"15,106",250.5(0.0),10,8,"201,391","22,919",,,,
225,Saison 7,35,Irelia,0,2 D,6.0,7.0,8.0,"11,278",197.0(0.0),6,7,"112,743","24,941",,,,
226,Saison 7,36,Zed,0,2 D,5.5,7.0,2.0,"10,128",170.5(0.0),7,8,"87,137","18,986",,,,
227,Saison 7,37,Maître Yi,0,2 D,5.0,6.5,1.5,"11,330",218.5(0.0),7,8,"142,529","21,148",,,,
228,Saison 7,38,Gragas,1V,0,2.0,2.0,5.0,"10,636",120.0(0.0),2,2,"114,576","32,852",,,,
229,Saison 7,39,Wukong,1V,0,10.,/5.,/20,"19,191",267.0(0.0),10,5,"284,404","52,749",,,,
230,Saison 7,40,Xayah,1V,0,6.0,6.0,13.,"13,359",199.0(0.0),6,6,"144,968","19,190",,,,
231,Saison 7,41,Zyra,1V,0,6.0,2.0,13.,"11,483",65.0(0.0),6,2,"75,887","11,409",,,,
232,Saison 7,42,Cho'Gath,1V,0,12.,/3.,/12,"15,284",185.0(0.0),12,3,"199,814","54,659",,,,
233,Saison 7,43,Trundle,1V,0,6.0,8.0,10.,"11,846",155.0(0.0),6,8,"99,343","27,677",,,,
234,Saison 7,44,Taliyah,1V,0,6.0,2.0,7.0,"11,185",155.0(0.0),6,2,"99,794","12,908",,,,
235,Saison 7,45,Ashe,1V,0,4.0,3.0,10.,"12,364",229.0(0.0),4,3,"150,239","14,839",,,,
236,Saison 7,46,Kayle,1V,0,4.0,4.0,10.,"12,105",224.0(0.0),4,4,"147,777","17,564",,,,
237,Saison 7,47,Pantheon,1V,0,11.,/5.,/5.,"12,973",173.0(0.0),11,5,"118,837","20,301",,,,
238,Saison 7,48,Annie,0,1 D,3.0,6.0,8.0,"11,201",232.0(0.0),3,6,"134,078","14,564",,,,
239,Saison 7,49,Blitzcrank,0,1 D,3.0,2.0,3.0,"7,389",52.0(0.0),3,2,"23,981","12,811",,,,
240,Saison 7,50,Hecarim,0,1 D,2.0,6.0,6.0,"8,010",104.0(0.0),2,6,"78,962","25,687",,,,
241,Saison 7,51,Vayne,0,1 D,2.0,4.0,1.0,"5,161",93.0(0.0),2,4,"29,839","8,149",,,,
242,Saison 7,52,Tryndamere,0,1 D,3.0,9.0,6.0,"9,963",180.0(0.0),3,9,"123,092","34,496",,,,
243,Saison 7,53,Tahm Kench,0,1 D,1.0,8.0,5.0,"8,648",53.0(0.0),1,8,"39,307","29,520",,,,
244,Saison 7,54,Xerath,0,1 D,7.0,6.0,6.0,"9,902",168.0(0.0),7,6,"101,160","12,835",,,,
245,Saison 7,55,Darius,0,1 D,3.0,5.0,4.0,"11,306",239.0(0.0),3,5,"128,500","27,940",,,,
246,Saison 7,56,Garen,0,1 D,5.0,8.0,6.0,"9,581",118.0(0.0),5,8,"70,506","22,126",,,,
247,Saison 7,57,Evelynn,0,1 D,1.0,9.0,3.0,"9,129",114.0(0.0),1,9,"124,309","36,858",,,,
248,Saison 7,58,Zac,0,1 D,3.0,5.0,3.0,"8,037",97.0(0.0),3,5,"94,836","31,527",,,,
249,Saison 7,59,Singed,0,1 D,1.0,5.0,2.0,"6,833",134.0(0.0),1,5,"74,063","19,689",,,,
250,Saison 7,60,Lucian,0,1 D,7.0,4.0,1.0,"9,686",188.0(0.0),7,4,"103,714","12,447",,,,
251,Saison 8,1,Ziggs,77V,77 D,6.9,4.2,6.8,"12,856",226.5(7.7),20,10,"180,599","14,544",90,17,3,
252,Saison 8,2,Ekko,56V,43 D,7.1,4.0,5.5,"11,711",199.9(7.3),24,12,"135,909","22,848",71,9,1,
253,Saison 8,3,Azir,56V,41 D,7.0,4.3,6.1,"12,561",226.3(7.9),19,10,"153,467","16,227",94,21,3,
254,Saison 8,4,Ezreal,20V,27 D,5.8,4.5,7.0,"11,808",197.7(7.1),17,11,"127,095","14,600",29,6,,
255,Saison 8,5,Vladimir,13V,19 D,5.4,3.6,4.6,"10,761",200.1(7.5),15,10,"130,516","22,357",15,2,,
256,Saison 8,6,Sivir,10V,11 D,6.5,4.2,6.9,"12,834",239.8(8.5),15,9,"186,025","16,806",20,4,1,
257,Saison 8,7,Lux,4V,10 D,4.5,4.6,6.4,"10,703",193.3(6.7),7,9,"126,049","13,459",5,,,
258,Saison 8,8,Vel'Koz,3V,3 D,6.8,3.7,8.0,"12,806",238.8(8.1),12,9,"165,325","14,586",3,,,
259,Saison 8,9,Lissandra,2V,2 D,3.8,3.0,4.3,"9,230",175.0(7.3),5,7,"111,401","13,208",2,,,
260,Saison 8,10,Kog'Maw,1V,1 D,4.5,6.5,7.0,"11,974",209.0(7.2),6,11,"130,636","16,151",1,,,
261,Saison 8,11,Varus,1V,1 D,4.5,5.0,8.0,"12,558",250.5(9.2),7,7,"172,380","14,229",1,,,
262,Saison 8,12,Cassiopeia,0,2 D,8.5,6.0,6.0,"11,888",169.5(6.3),12,6,"106,329","17,728",4,1,,
263,Saison 8,13,Viktor,0,2 D,2.0,3.5,3.5,"9,105",207.0(7.8),3,5,"137,322","12,359",,,,
264,Saison 8,14,Janna,0,2 D,3.0,5.0,7.5,"7,074",17.5(0.6),4,8,"17,189","13,414",,,,
265,Saison 8,15,Draven,1V,0,15.,/10,0/4,"18,684",250.0(7.0),15,10,"198,597","24,509",3,,,
266,Saison 8,16,Xerath,1V,0,8.0,6.0,20.,"16,939",295.0(7.6),8,6,"211,924","19,195",,,,
267,Saison 8,17,Veigar,1V,0,15.,/6.,/12,"14,460",184.0(6.5),15,6,"155,274","21,882",2,,,
268,Saison 8,18,Skarner,0,1 D,1.0,5.0,2.0,"8,533",144.0(5.0),1,5,"107,060","23,501",,,,
269,Saison 8,19,Ryze,0,1 D,3.0,5.0,2.0,"9,809",185.0(7.0),3,5,"104,667","18,364",,,,
270,Saison 8,20,Kai'Sa,0,1 D,1.0,5.0,2.0,"6,698",147.0(7.1),1,5,"47,308","9,708",,,,
271,Saison 8,21,Caitlyn,0,1 D,2.0,3.0,1.0,"7,746",179.0(8.0),2,3,"91,546","10,347",,,,
272,Saison 9,1,Lux,115V,94 D,6.0,2.7,7.4,"11,020",184.5(6.7),19,11,"122,822","10,908",123,14,,
273,Saison 9,2,Ziggs,53V,62 D,5.9,3.3,6.8,"12,369",214.0(7.2),16,8,"172,750","14,425",55,6,,
274,Saison 9,3,Ezreal,38V,28 D,7.2,4.5,8.4,"12,517",180.8(6.5),24,9,"131,729","16,089",57,6,1,1
275,Saison 9,4,Lissandra,21V,19 D,5.7,4.5,8.4,"11,700",191.6(6.8),16,10,"136,518","16,849",30,6,,
276,Saison 9,5,Caitlyn,12V,13 D,6.9,5.0,6.4,"12,199",191.4(6.7),20,9,"150,963","16,503",17,5,2,
277,Saison 9,6,Azir,10V,10 D,6.2,3.9,7.3,"11,944",187.6(6.6),21,7,"132,907","16,097",17,1,,
278,Saison 9,7,Nasus,7V,4 D,7.7,5.0,4.8,"12,418",174.1(6.2),12,10,"139,108","28,462",8,1,,
279,Saison 9,8,Corki,5V,4 D,5.8,5.1,7.3,"10,606",170.4(6.4),11,11,"116,770","19,309",10,2,,
280,Saison 9,9,Malzahar,6V,2 D,7.8,5.6,12.,"14,961",234.1(7.2),17,8,"187,458","19,253",7,,,
281,Saison 9,10,Xerath,4V,3 D,8.1,4.1,7.3,"13,615",234.7(7.2),14,6,"185,152","14,936",6,2,,
282,Saison 9,11,Sivir,4V,3 D,7.6,4.7,8.7,"13,616",234.3(7.9),12,9,"182,251","17,818",6,,,
283,Saison 9,12,Neeko,4V,2 D,6.7,6.5,7.0,"13,864",234.2(6.9),9,13,"189,894","23,929",4,1,,
284,Saison 9,13,Jhin,4V,2 D,10.,/5.,/9.,"14,988",210.2(6.2),18,8,"211,624","22,109",11,1,,
285,Saison 9,14,Cassiopeia,3V,3 D,4.3,5.5,4.2,"9,269",159.2(6.3),13,9,"82,083","15,425",5,1,,
286,Saison 9,15,Ryze,2V,3 D,9.2,5.8,8.4,"14,576",233.2(6.6),17,8,"196,081","26,639",3,,,
287,Saison 9,16,Zilean,3V,1 D,4.3,3.3,12.,"11,486",182.8(6.3),7,5,"135,916","19,728",1,,,
288,Saison 9,17,Tryndamere,3V,1 D,7.3,6.3,6.8,"14,982",227.8(7.3),14,7,"222,874","37,014",3,,,
289,Saison 9,18,Vladimir,1V,3 D,4.0,5.3,4.8,"9,956",189.3(6.8),8,8,"113,187","26,006",,,,
290,Saison 9,19,Skarner,2V,1 D,3.0,4.0,12.,"10,535",139.3(4.6),6,7,"124,408","28,682",,,,
291,Saison 9,20,Singed,2V,1 D,3.0,5.3,9.7,"10,266",166.0(5.4),4,7,"119,194","30,250",,,,
292,Saison 9,21,Karthus,1V,1 D,7.5,3.0,3.0,"11,426",179.5(6.6),9,4,"114,147","14,079",,,,
293,Saison 9,22,Orianna,1V,1 D,4.5,4.5,6.0,"9,159",151.5(6.8),7,7,"87,355","14,003",1,,,
294,Saison 9,23,Mordekaiser,0,2 D,5.0,6.5,2.0,"9,231",148.5(5.7),8,7,"103,978","25,286",1,,,
295,Saison 9,24,Kayn,0,2 D,4.5,6.5,2.5,"8,610",122.0(4.8),9,10,"105,134","28,384",1,,,
296,Saison 9,25,Draven,0,2 D,4.5,7.5,3.5,"11,303",191.0(6.8),7,8,"125,786","19,189",,,,
297,Saison 9,26,Ekko,1V,0,9.0,3.0,9.0,"14,806",214.0(7.1),9,3,"159,586","20,295",1,,,
298,Saison 9,27,Garen,1V,0,8.0,2.0,8.0,"15,188",243.0(7.7),8,2,"181,617","31,563",1,,,
299,Saison 9,28,Kha'Zix,0,1 D,4.0,7.0,3.0,"6,897",73.0(3.4),4,7,"61,627","18,598",1,,,
300,Saison 9,29,Lee Sin,0,1 D,5.0,7.0,5.0,"8,508",98.0(3.7),5,7,"80,409","23,042",,,,
301,Saison 9,30,Akali,0,1 D,7.0,7.0,3.0,"11,558",172.0(6.3),7,7,"115,426","24,078",1,,,
302,Saison 9,31,Viktor,0,1 D,0.0,4.0,4.0,"6,640",141.0(6.2),0,4,"74,629","8,467",,,,
303,Saison 9,32,Brand,0,1 D,3.0,6.0,6.0,"8,043",131.0(5.0),3,6,"81,424","14,432",,,,
304,Saison 9,33,Diana,0,1 D,5.0,8.0,8.0,"11,570",198.0(6.1),5,8,"139,171","21,556",1,,,
305,Saison 9,34,LeBlanc,0,1 D,6.0,8.0,2.0,"9,392",146.0(6.1),6,8,"81,483","16,812",,,,
306,Saison 9,35,Kennen,0,1 D,11.,/7.,/8.,"16,887",219.0(5.7),11,7,"175,886","33,089",,,,
307,Saison 2020,1,Lux,26V,27 D,6.5,3.4,8.0,"11,500",193.2(6.8),24,7,"130,057","11,747",35,2,,
308,Saison 2020,2,Diana,12V,15 D,6.6,5.0,5.0,"11,433",189.7(7.1),13,9,"132,777","20,826",19,3,,
309,Saison 2020,3,Séraphine,16V,10 D,6.4,3.4,9.0,"11,820",196.8(6.9),15,8,"133,172","11,970",16,2,,
310,Saison 2020,4,Azir,10V,12 D,5.5,3.8,4.1,"10,555",189.2(7.3),17,9,"116,070","15,528",16,2,,
311,Saison 2020,5,Ezreal,12V,7 D,7.6,4.1,6.4,"11,870",186.9(6.7),20,10,"129,029","17,298",15,2,1,
312,Saison 2020,6,Malzahar,9V,4 D,4.9,4.2,6.8,"11,399",205.6(7.5),11,7,"144,804","13,551",4,2,,
313,Saison 2020,7,Ziggs,6V,7 D,4.1,4.4,6.2,"11,883",217.7(7.2),9,7,"166,512","15,383",4,,,
314,Saison 2020,8,Karthus,5V,7 D,8.2,4.8,8.3,"11,825",188.7(6.9),20,9,"134,530","21,945",13,,,
315,Saison 2020,9,Twisted Fate,7V,4 D,5.1,4.7,7.1,"11,391",176.3(6.7),11,11,"122,395","18,691",4,,,
316,Saison 2020,10,Lissandra,3V,6 D,5.6,5.0,5.1,"10,371",179.3(6.8),15,9,"115,048","17,006",5,1,,
317,Saison 2020,11,Viktor,4V,4 D,8.9,5.3,7.3,"13,217",218.4(7.3),14,8,"166,271","16,927",11,2,,
318,Saison 2020,12,Kennen,2V,6 D,9.3,6.4,8.8,"12,551",172.1(5.7),21,10,"118,613","23,468",12,,,
319,Saison 2020,13,Cassiopeia,3V,4 D,4.4,4.3,3.4,"9,039",166.1(7.3),9,7,"86,205","15,728",2,,,
320,Saison 2020,14,Ashe,3V,4 D,7.0,5.7,11.,"12,627",200.3(6.2),12,9,"160,535","18,628",8,1,,
321,Saison 2020,15,Varus,1V,6 D,5.0,4.7,4.4,"10,317",185.6(7.1),14,12,"108,572","12,781",5,,,
322,Saison 2020,16,Orianna,4V,2 D,5.0,2.8,7.2,"10,403",188.7(7.4),9,5,"117,955","11,733",2,1,,
323,Saison 2020,17,Aurelion Sol,4V,0,5.3,2.5,12.,"10,931",168.3(6.1),9,5,"115,988","20,207",1,,,
324,Saison 2020,18,Kai'Sa,3V,1 D,5.8,4.8,9.3,"11,611",169.0(5.7),7,6,"124,243","18,268",,,,
325,Saison 2020,19,Kog'Maw,2V,2 D,6.3,6.0,10.,"13,159",228.8(6.6),10,8,"156,057","23,879",4,1,,
326,Saison 2020,20,Samira,1V,3 D,6.0,5.5,5.5,"12,143",230.3(7.4),11,8,"149,419","20,200",4,,,
327,Saison 2020,21,Sylas,1V,3 D,5.5,6.0,7.5,"9,453",142.3(5.4),14,8,"88,433","24,208",2,1,,
328,Saison 2020,22,Yone,1V,2 D,5.0,8.3,4.3,"11,546",195.0(6.1),7,10,"139,886","27,435",1,,,
329,Saison 2020,23,Ryze,0,2 D,2.0,3.0,1.0,"7,234",158.5(7.8),4,4,"77,438","11,247",,,,
330,Saison 2020,24,Jhin,0,2 D,4.0,4.0,4.5,"9,823",177.0(6.4),5,5,"111,862","12,790",,,,
331,Saison 2020,25,Jinx,0,2 D,5.0,4.5,3.0,"7,428",117.5(5.8),9,6,"60,034","10,518",1,,,
332,Saison 2020,26,Xerath,1V,0,0.0,0.0,3.0,"2,791",31.0(3.4),0,0,"17,383","1,400",,,,
333,Saison 2020,27,Sivir,0,1 D,7.0,6.0,16.,"16,763",285.0(7.7),7,6,"225,830","24,200",,,,
334,Saison 2020,28,Zilean,0,1 D,1.0,9.0,11.,"8,236",134.0(5.0),1,9,"77,300","19,593",,,,
335,Saison 2020,29,Ekko,0,1 D,3.0,8.0,11.,"11,926",202.0(5.5),3,8,"171,440","35,705",,,,
336,Saison 2020,30,Ahri,0,1 D,6.0,7.0,6.0,"9,672",162.0(6.1),6,7,"103,859","15,888",,,,
337,Saison 2020,31,Fiddlesticks,0,1 D,3.0,7.0,4.0,"7,651",118.0(4.8),3,7,"91,003","19,554",1,,,
338,Saison 2020,32,Caitlyn,0,1 D,7.0,3.0,10.,"15,149",257.0(7.4),7,3,"233,589","19,132",2,,,
339,Saison 2021,1,Akshan,109V,91 D,10.,/5.,/6.,"12,921",173.2(6.2),34,14,"127,830","19,631",270,43,16,3
340,Saison 2021,2,Lux,23V,17 D,6.7,4.4,7.6,"11,502",189.8(6.9),18,10,"132,126","11,990",29,3,,
341,Saison 2021,3,Ezreal,11V,13 D,7.0,3.9,5.5,"11,525",192.0(7.0),30,9,"128,300","17,059",27,1,,
342,Saison 2021,4,Anivia,7V,3 D,10.,/3.,/7.,"13,080",195.7(6.9),22,6,"142,339","19,644",16,2,,
343,Saison 2021,5,Kog'Maw,4V,3 D,8.7,5.6,8.9,"11,576",156.3(6.1),18,11,"104,896","17,965",9,,,
344,Saison 2021,6,Viktor,3V,1 D,7.3,3.3,5.5,"10,844",172.0(6.7),16,6,"111,315","12,508",5,1,,
345,Saison 2021,7,Sylas,1V,3 D,5.8,9.3,5.0,"12,019",182.3(5.6),11,12,"123,831","33,894",3,,,
346,Saison 2021,8,Rell,1V,1 D,5.0,3.5,22.,"10,817",47.5(1.4),10,5,"39,749","25,056",1,,,
347,Saison 2021,9,Séraphine,1V,1 D,9.0,4.0,17.,"13,442",187.5(6.2),10,5,"143,879","15,466",1,,,
348,Saison 2021,10,Vex,1V,0,6.0,7.0,12.,"16,686",293.0(7.2),6,7,"267,860","23,583",1,,,
349,Saison 2021,11,Veigar,1V,0,18.,/6.,/6.,"15,974",188.0(7.0),18,6,"152,373","17,360",4,,,
350,Saison 2021,12,Ashe,1V,0,13.,/6.,/16,"16,957",227.0(6.2),13,6,"215,370","25,841",1,,,
351,Saison 2021,13,Fizz,1V,0,10.,/7.,/17,"13,380",137.0(4.2),10,7,"87,553","28,123",,,,
352,Saison 2021,14,Diana,1V,0,10.,/4.,/8.,"17,521",287.0(7.3),10,4,"257,625","25,797",,,,
353,Saison 2021,15,Qiyana,0,1 D,4.0,7.0,2.0,"10,143",197.0(6.6),4,7,"119,463","19,962",,,,
354,Saison 2021,16,Caitlyn,0,1 D,8.0,3.0,5.0,"13,661",258.0(7.6),8,3,"192,095","20,733",,,,
355,Saison 2021,17,Ziggs,0,1 D,6.0,11.,/7.,"13,450",211.0(6.8),6,11,"154,474","23,410",,,,
356,Saison 2021,18,Cassiopeia,0,1 D,5.0,3.0,3.0,"9,298",179.0(7.8),5,3,"76,389","13,976",1,,,
357,Saison 2021,19,Camille,0,1 D,7.0,6.0,4.0,"12,397",208.0(6.2),7,6,"140,459","33,520",,,,
358,Saison 2021,20,Pyke,0,1 D,6.0,11.,/11,"9,978",38.0(1.2),6,11,"28,083","23,543",1,,,
359,Saison 2021,21,Kayn,0,1 D,1.0,10.,/6.,"5,789",79.0(3.6),1,10,"66,242","24,808",,,,
360,Saison 2021,22,Azir,0,1 D,9.0,6.0,3.0,"10,171",158.0(5.9),9,6,"108,256","17,501",2,,,
