,rank,champion,winrate,nb_game,kd_rate,nb_kill_mobs,gold
111,112,Lillia,49.96%,20008,2.59,189.18,12260
112,113,Wukong,49.95%,15815,2.1,173.68,11903
113,114,Galio,49.95%,12738,2.59,111.79,9605
114,115,Qiyana,49.93%,48896,2.21,167.41,12277
115,116,Jarvan IV,49.92%,39931,3.22,150.19,11497
116,117,Pantheon,49.83%,17681,2.1,119.1,11047
117,118,Yone,49.82%,70695,1.75,204.62,12597
118,119,Séraphine,49.82%,26375,2.69,101.87,9796
119,120,Brand,49.8%,37128,1.83,82.5,10418
120,121,Sylas,49.79%,46554,2.1,152.71,11309
121,122,Jax,49.72%,36191,1.58,189.79,12231
122,123,Aatrox,49.67%,35563,1.97,182.31,11705
123,124,Nautilus,49.62%,40756,2.36,37.98,7916
124,125,Viego,49.61%,78812,2.39,165.55,12140
125,126,Zoé,49.57%,15741,2.53,158.54,11332
126,127,Gnar,49.55%,23507,1.92,187.83,11646
127,128,Elise,49.54%,14805,2.51,135.81,11204
128,129,Karma,49.53%,61317,2.78,45.45,8617
129,130,Sion,49.52%,43534,1.43,207.34,12149
130,131,Akali,49.36%,64062,2.29,166.36,11652
131,132,Olaf,49.21%,8329,2.25,173.03,12022
132,133,Lucian,49.2%,44459,2.21,204.2,12827
133,134,Caitlyn,49.15%,90321,2.27,199.82,12507
134,135,Ivern,49.02%,9840,3.25,117.15,9279
135,136,Gwen,48.84%,54590,1.93,193.07,12214
136,137,Nidalee,48.75%,14328,2.76,156.97,11660
137,138,Kalista,48.72%,9112,2.21,203.14,13002
138,139,Yuumi,48.7%,56395,4.13,6.78,7897
139,140,Ezreal,48.58%,109233,2.37,194.83,12626
140,141,Orianna,48.45%,22617,2.6,192.3,11445
141,142,Samira,48.28%,38174,2.14,192.11,12896
142,143,Jayce,48.04%,32070,1.83,198.76,12722
143,144,Gragas,48.03%,27478,2.35,154.22,10529
144,145,Rumble,47.99%,8365,2.24,175.0,11734
145,146,Gangplank,47.96%,49421,2.0,212.09,14064
146,147,Thresh,47.87%,61216,2.56,35.45,7881
147,148,Kennen,47.78%,8735,2.01,176.0,11300
148,149,Karthus,47.75%,19652,2.24,199.35,13124
149,150,LeBlanc,47.73%,25797,2.7,151.81,11158
150,151,Corki,47.53%,39510,2.08,207.91,13134
151,152,Lee Sin,47.32%,80586,2.63,150.3,11545
152,153,Syndra,47.25%,23517,2.18,189.08,11724
153,154,Twisted Fate,47.17%,19798,2.19,162.62,11478
154,155,Varus,47%,12714,2.29,194.12,12502
155,156,Azir,46.96%,8428,2.12,196.2,11857
156,157,Renekton,46.81%,24559,1.82,200.41,12130
157,158,Aphelios,45.36%,40498,1.98,195.15,12136
158,159,Ryze,44.54%,17414,2.1,214.58,11851
