,rank,champion,winrate,nb_game,kd_rate,nb_kill_mobs,gold
111,112,Sett,49.49%,13627,1.73,169.66,11345
112,113,Miss Fortune,49.49%,6644,2.27,194.68,12360
113,114,Leona,49.48%,13475,2.38,34.59,7575
114,115,Xerath,49.47%,18375,2.86,122.64,10951
115,116,Viktor,49.45%,24689,2.2,201.91,11887
116,117,Nautilus,49.44%,15228,2.33,36.47,7630
117,118,Vex,49.39%,15182,2.42,159.58,11003
118,119,Sion,49.32%,13103,1.44,202.13,11736
119,120,Udyr,49.3%,3698,2.76,188.6,11847
120,121,Galio,49.26%,4655,2.7,117.77,9393
121,122,Lux,49.21%,23101,2.72,97.48,10045
122,123,Akali,49.11%,22616,2.27,168.96,11408
123,124,Ashe,49.11%,7646,2.32,170.3,11099
124,125,Twisted Fate,49.05%,7401,2.3,160.12,11127
125,126,Morgana,48.99%,8482,2.58,42.16,8687
126,127,Karma,48.98%,28545,2.84,42.61,8344
127,128,Malzahar,48.94%,6692,2.1,202.23,11519
128,129,Viego,48.92%,31320,2.48,163.06,11844
129,130,Draven,48.88%,16510,1.98,197.69,13257
130,131,Karthus,48.76%,10641,2.24,201.18,12924
131,132,Orianna,48.69%,8226,2.62,192.76,11161
132,133,Caitlyn,48.67%,25903,2.27,198.14,12133
133,134,Kennen,48.66%,3138,2.0,176.82,11044
134,135,Neeko,48.66%,2834,2.07,148.14,10763
135,136,Yuumi,48.65%,22900,4.19,6.38,7666
136,137,Jarvan IV,48.64%,14339,3.2,146.7,11130
137,138,Lucian,48.5%,12791,2.16,203.47,12430
138,139,Gragas,48.48%,11622,2.35,154.0,10263
139,140,Illaoi,48.39%,2075,1.31,215.64,12277
140,141,Shyvana,48.35%,3907,2.45,196.29,12118
141,142,Ezreal,48.32%,36371,2.31,194.67,12216
142,143,Olaf,48.26%,3711,2.22,173.94,11773
143,144,LeBlanc,48.17%,9136,2.8,154.24,11011
144,145,Renekton,48.14%,9208,1.84,198.39,11859
145,146,Samira,48.1%,10367,2.16,190.55,12593
146,147,Thresh,48.05%,22538,2.6,33.95,7595
147,148,Azir,48.03%,2942,2.14,191.6,11485
148,149,Lillia,47.91%,5266,2.64,188.71,11974
149,150,Gangplank,47.84%,12446,1.99,210.87,13658
150,151,Brand,47.8%,8828,1.76,82.87,10155
151,152,Syndra,47.69%,8251,2.18,191.2,11445
152,153,Lee Sin,47.67%,32397,2.75,149.54,11360
153,154,Jayce,47.54%,11970,1.74,200.01,12323
154,155,Teemo,47.47%,5119,1.66,192.59,11952
155,156,Corki,47.31%,12079,2.1,208.81,12766
156,157,Varus,46.33%,4185,2.27,194.6,12162
157,158,Aphelios,46.07%,18348,2.0,194.99,11891
158,159,Ryze,45.68%,7255,2.17,213.26,11615
