,rank,champion,winrate,nb_game,kd_rate,nb_kill_mobs,gold
111,112,Xayah,48.99%,60391,2.29,195.16,12642
112,113,Darius,48.83%,140767,1.8,183.51,12231
113,114,Rakan,48.83%,64047,2.75,36.39,8058
114,115,Pantheon,48.81%,63476,2.05,102.44,10906
115,116,Evelynn,48.79%,55781,2.66,143.51,12094
116,117,Vex,48.69%,147348,2.26,141.01,11213
117,118,Bard,48.6%,41274,2.8,27.52,8679
118,119,Riven,48.59%,66443,1.93,183.36,12078
119,120,Ezreal,48.36%,300443,2.37,181.06,12604
120,121,Camille,48.24%,58703,1.85,163.81,11567
121,122,Taliyah,48.09%,15097,2.19,129.18,11495
122,123,Caitlyn,48.03%,293629,2.2,187.78,12404
123,124,Talon,48.02%,39589,2.07,171.16,12723
124,125,Ivern,47.96%,15326,2.86,116.47,9534
125,126,Karthus,47.88%,29491,2.21,187.07,13064
126,127,Gnar,47.83%,48738,1.89,174.34,11545
127,128,Lucian,47.75%,128120,2.2,195.35,12890
128,129,Corki,47.67%,102736,2.04,194.46,13150
129,130,Karma,47.66%,97904,2.57,46.83,8857
130,131,Orianna,47.66%,52170,2.55,176.1,11352
131,132,Elise,47.65%,26354,2.28,135.23,11261
132,133,Samira,47.52%,103649,2.07,183.71,12833
133,134,Varus,47.5%,40521,2.24,180.62,12358
134,135,Kindred,47.49%,53763,2.01,167.18,12396
135,136,Kennen,47.42%,26619,2.0,162.04,11203
136,137,Kalista,47.41%,22419,2.11,191.31,12917
137,138,Rengar,47.19%,54117,2.01,161.88,12653
138,139,Sylas,47.18%,99249,1.99,139.7,11244
139,140,Jayce,47.06%,65267,1.89,186.27,12727
140,141,Syndra,47%,59088,2.18,175.66,11733
141,142,Gangplank,46.66%,118376,1.93,202.98,13908
142,143,Zoé,46.63%,32948,2.3,141.31,10960
143,144,Qiyana,46.62%,80395,2.04,159.07,12021
144,145,LeBlanc,46.32%,63642,2.56,138.25,11031
145,146,Gwen,46.29%,112825,1.79,182.69,12009
146,147,Aatrox,46.25%,53634,1.84,172.05,11509
147,148,Thresh,46.23%,142674,2.4,37.66,8103
148,149,Rek'Sai,46.23%,27419,2.18,145.43,11901
149,150,Rumble,46.05%,20601,2.05,167.37,11649
150,151,Gragas,45.78%,45081,2.21,142.96,10408
151,152,Renekton,45.77%,63733,1.82,190.66,12019
152,153,Olaf,45.73%,23198,2.02,164.89,11887
153,154,Aphelios,45.66%,67378,1.95,185.75,12167
154,155,Lee Sin,45%,163448,2.36,146.78,11549
155,156,Twisted Fate,44.51%,39960,1.93,150.2,11336
156,157,Nidalee,44.45%,28656,2.29,137.43,11158
157,158,Ryze,43.3%,43394,1.96,202.12,11783
158,159,Azir,43.3%,16640,1.89,177.48,11373
