,rank,champion,winrate,nb_game,kd_rate,nb_kill_mobs,gold
115,116,Pantheon,50%,144,1.98,151.83,10351
116,117,Braum,50%,128,2.72,32.47,7336
117,118,Warwick,50%,76,2.03,155.51,11298
118,119,Leona,49.93%,679,2.34,32.81,7055
119,120,Nami,49.88%,866,3.39,12.08,7683
120,121,Ezreal,49.82%,1646,2.23,194.06,11454
121,122,Kalista,49.76%,205,2.57,212.11,12425
122,123,Viego,49.73%,1647,2.69,156.74,11243
123,124,Gragas,49.66%,596,2.33,147.08,9592
124,125,Urgot,49.59%,482,1.64,199.52,11875
125,126,Shyvana,49.48%,194,2.2,194.99,11807
126,127,Jarvan IV,49.43%,611,3.38,143.44,10758
127,128,Gnar,49.3%,501,1.72,193.7,11096
128,129,Renekton,49.25%,670,1.88,196.02,11270
129,130,Twitch,49.25%,532,2.35,164.5,11490
130,131,Miss Fortune,49%,100,2.42,208.73,12325
131,132,Aphelios,48.9%,1415,2.12,197.24,11685
132,133,Ekko,48.71%,620,2.58,183.5,11854
133,134,Akali,48.57%,1223,2.22,169.08,10881
134,135,Ryze,48.53%,853,2.38,212.79,11289
135,136,Yuumi,48.44%,931,4.16,6.2,7453
136,137,Gangplank,48.4%,438,1.89,206.79,12780
137,138,Samira,48.09%,235,2.22,192.2,12069
138,139,Sivir,47.92%,192,2.41,213.41,11904
139,140,Udyr,47.9%,167,2.91,175.86,11207
140,141,Swain,47.62%,42,2.54,66.5,9033
141,142,Cho'Gath,47.47%,297,2.17,190.27,11166
142,143,Kog'Maw,47.37%,114,2.2,204.66,11882
143,144,Evelynn,47.26%,201,3.15,153.29,11227
144,145,Olaf,46.88%,128,2.37,168.93,11125
145,146,Sett,46.86%,510,1.8,147.24,10342
146,147,Lillia,46.82%,173,2.99,187.86,11729
147,148,Varus,46.73%,214,2.18,193.37,11438
148,149,Mordekaiser,46.07%,89,1.59,190.47,11004
149,150,Ivern,45.95%,148,3.41,107.61,8518
150,151,Taric,45.93%,209,3.86,38.67,7083
151,152,Corki,45.28%,413,2.2,212.77,12324
152,153,Neeko,44.59%,74,2.05,152.43,10523
153,154,Xerath,44.19%,310,2.8,134.14,10425
154,155,Fiddlesticks,44.04%,109,2.57,152.79,10365
155,156,Illaoi,42.42%,33,1.5,216.67,12248
156,157,Zyra,41.86%,43,1.81,42.28,7768
157,158,Singed,37.19%,121,2.35,140.4,9402
158,159,Rammus,34.62%,26,2.24,83.77,8070
