,rank,champion,winrate,nb_game,kd_rate,nb_kill_mobs,gold
115,116,Lux,50.19%,259,2.67,81.7,9376
116,117,Yone,50.18%,275,1.8,210.08,12140
117,118,Nocturne,50%,90,2.85,162.31,11471
118,119,Malphite,50%,88,2.37,156.24,9594
119,120,Lillia,50%,72,3.13,185.86,11785
120,121,Morgana,50%,46,3.0,32.85,8283
121,122,Kled,50%,38,1.74,158.29,10057
122,123,Heimerdinger,50%,16,2.04,110.06,9983
123,124,Yorick,50%,6,0.82,203.33,12320
124,125,Vi,50%,4,3.26,160.25,11668
125,126,Amumu,50%,4,3.0,30.5,7253
126,127,Lulu,49.75%,601,3.12,20.82,7674
127,128,Xayah,49.63%,135,2.45,222.37,12467
128,129,Elise,49.59%,123,2.24,104.99,9854
129,130,Akshan,49.55%,337,2.22,189.95,12447
130,131,Orianna,49.55%,224,2.59,207.6,11047
131,132,Akali,49.43%,706,2.26,168.83,10856
132,133,Talon,48.89%,45,2.1,178.2,11409
133,134,Shaco,48.89%,45,2.36,130.64,10887
134,135,Ekko,48.85%,348,2.48,183.7,12094
135,136,Gragas,48.8%,250,2.5,151.74,10067
136,137,Udyr,48.72%,39,2.98,191.72,11468
137,138,Irelia,48.56%,348,1.65,212.27,11972
138,139,Twitch,48.54%,103,2.06,152.88,10767
139,140,Blitzcrank,48.29%,350,2.54,29.96,7288
140,141,Nunu et Willump,48.28%,116,2.37,102.79,9419
141,142,Xerath,47.9%,167,3.13,141.99,11009
142,143,Séraphine,47.28%,184,2.85,158.71,9371
143,144,Corki,47.22%,216,2.32,212.74,12290
144,145,Zilean,46.92%,390,3.03,80.23,7912
145,146,Dr. Mundo,46.88%,32,2.39,173.38,9804
146,147,Kassadin,46.79%,156,2.51,186.52,11279
147,148,Sett,46.74%,276,1.79,144.63,9957
148,149,Nasus,46.43%,28,1.74,180.64,10777
149,150,Cho'Gath,46.03%,63,2.02,188.44,10628
150,151,Anivia,45.83%,24,2.33,188.71,11854
151,152,Brand,43.75%,80,1.87,78.2,9657
152,153,Azir,43.48%,46,2.14,205.13,11379
153,154,Shyvana,42.47%,73,2.31,200.73,12116
154,155,Ashe,39.13%,46,2.1,181.8,11030
155,156,Kog'Maw,36.84%,19,2.03,217.53,13684
156,157,Fiddlesticks,33.33%,6,2.67,145.0,10594
157,158,Zyra,22.22%,9,1.8,26.56,6923
158,159,Rammus,0%,1,0.43,89.0,5963
